,rerun,bootstrap,subject,ism_repref_corr,sub_rep_ism_gsm_corr,sub_ref_ism_gsm_corr
0,20,0,16,,,0.001017675
0,20,0,12,,,0.001297318
0,20,0,2,,,-0.000102617
0,20,0,13,,,0.0013904
0,20,0,5,,,0.006533629
0,20,0,1,,,0.004808077
0,20,0,22,,,0.002492183
0,20,0,15,,,0.003212797
0,20,0,18,,,0.005560922
0,20,0,17,,,0.003710854
0,20,0,3,,,0.005352372
0,21,0,20,,,0.005363976
0,21,0,19,,,0.009321409
0,21,0,9,,,0.002734412
0,21,0,14,,,0.004450292
0,21,0,21,,,0.004141164
0,21,0,8,,,0.002366225
0,21,0,4,,,0.004720861
0,21,0,11,,,0.000563587
0,21,0,6,,,0.003944138
0,21,0,7,,,0.004234955
0,21,0,23,,,0.00338504
0,21,0,0,,,2.24E-05
0,21,0,10,,,0.005162289
0,21,0,16,,,0.001017675
0,21,0,12,,,0.001297318
0,21,0,2,,,-0.000102617
0,21,0,13,,,0.0013904
0,21,0,5,,,0.006533629
0,21,0,1,,,0.004808077
0,21,0,22,,,0.002492183
0,21,0,15,,,0.003212797
0,21,0,18,,,0.005560922
0,21,0,17,,,0.003710854
0,21,0,3,,,0.005352372
0,22,0,20,,,0.005363976
0,22,0,19,,,0.009321409
0,22,0,9,,,0.002734412
0,22,0,14,,,0.004450292
0,22,0,21,,,0.004141164
0,22,0,8,,,0.002366225
0,22,0,4,,,0.004720861
0,22,0,11,,,0.000563587
0,22,0,6,,,0.003944138
0,22,0,7,,,0.004234955
0,22,0,23,,,0.00338504
0,22,0,0,,,2.24E-05
0,22,0,10,,,0.005162289
0,22,0,16,,,0.001017675
0,22,0,12,,,0.001297318
0,22,0,2,,,-0.000102617
0,22,0,13,,,0.0013904
0,22,0,5,,,0.006533629
0,22,0,1,,,0.004808077
0,22,0,22,,,0.002492183
0,22,0,15,,,0.003212797
0,22,0,18,,,0.005560922
0,22,0,17,,,0.003710854
0,22,0,3,,,0.005352372
0,23,0,20,,,0.005363976
0,23,0,19,,,0.009321409
0,23,0,9,,,0.002734412
0,23,0,14,,,0.004450292
0,23,0,21,,,0.004141164
0,23,0,8,,,0.002366225
0,23,0,4,,,0.004720861
0,23,0,11,,,0.000563587
0,23,0,6,,,0.003944138
0,23,0,7,,,0.004234955
0,23,0,23,,,0.00338504
0,23,0,0,,,2.24E-05
0,23,0,10,,,0.005162289
0,23,0,16,,,0.001017675
0,23,0,12,,,0.001297318
0,23,0,2,,,-0.000102617
0,23,0,13,,,0.0013904
0,23,0,5,,,0.006533629
0,23,0,1,,,0.004808077
0,23,0,22,,,0.002492183
0,23,0,15,,,0.003212797
0,23,0,18,,,0.005560922
0,23,0,17,,,0.003710854
0,23,0,3,,,0.005352372
0,24,0,20,,,0.005363976
0,24,0,19,,,0.009321409
0,24,0,9,,,0.002734412
0,24,0,14,,,0.004450292
0,24,0,21,,,0.004141164
0,24,0,8,,,0.002366225
0,24,0,4,,,0.004720861
0,24,0,11,,,0.000563587
0,24,0,6,,,0.003944138
0,24,0,7,,,0.004234955
0,24,0,23,,,0.00338504
0,24,0,0,,,2.24E-05
0,24,0,10,,,0.005162289
0,24,0,16,,,0.001017675
0,24,0,12,,,0.001297318
0,24,0,2,,,-0.000102617
0,24,0,13,,,0.0013904
0,24,0,5,,,0.006533629
0,24,0,1,,,0.004808077
0,24,0,22,,,0.002492183
0,24,0,15,,,0.003212797
0,24,0,18,,,0.005560922
0,24,0,17,,,0.003710854
0,24,0,3,,,0.005352372
0,25,0,20,,,0.005363976
0,25,0,19,,,0.009321409
0,25,0,9,,,0.002734412
0,25,0,14,,,0.004450292
0,25,0,21,,,0.004141164
0,25,0,8,,,0.002366225
0,25,0,4,,,0.004720861
0,25,0,11,,,0.000563587
0,25,0,6,,,0.003944138
0,25,0,7,,,0.004234955
0,25,0,23,,,0.00338504
0,25,0,0,,,2.24E-05
0,25,0,10,,,0.005162289
0,25,0,16,,,0.001017675
0,25,0,12,,,0.001297318
0,25,0,2,,,-0.000102617
0,25,0,13,,,0.0013904
0,25,0,5,,,0.006533629
0,25,0,1,,,0.004808077
0,25,0,22,,,0.002492183
0,25,0,15,,,0.003212797
0,25,0,18,,,0.005560922
0,25,0,17,,,0.003710854
0,25,0,3,,,0.005352372
0,26,0,20,,,0.005363976
0,26,0,19,,,0.009321409
0,26,0,9,,,0.002734412
0,26,0,14,,,0.004450292
0,26,0,21,,,0.004141164
0,26,0,8,,,0.002366225
0,26,0,4,,,0.004720861
0,26,0,11,,,0.000563587
0,26,0,6,,,0.003944138
0,26,0,7,,,0.004234955
0,26,0,23,,,0.00338504
0,26,0,0,,,2.24E-05
0,26,0,10,,,0.005162289
0,26,0,16,,,0.001017675
0,26,0,12,,,0.001297318
0,26,0,2,,,-0.000102617
0,26,0,13,,,0.0013904
0,26,0,5,,,0.006533629
0,26,0,1,,,0.004808077
0,26,0,22,,,0.002492183
0,26,0,15,,,0.003212797
0,26,0,18,,,0.005560922
0,26,0,17,,,0.003710854
0,26,0,3,,,0.005352372
0,27,0,20,,,0.005363976
0,27,0,19,,,0.009321409
0,27,0,9,,,0.002734412
0,27,0,14,,,0.004450292
0,27,0,21,,,0.004141164
0,27,0,8,,,0.002366225
0,27,0,4,,,0.004720861
0,27,0,11,,,0.000563587
0,27,0,6,,,0.003944138
0,27,0,7,,,0.004234955
0,27,0,23,,,0.00338504
0,27,0,0,,,2.24E-05
0,27,0,10,,,0.005162289
0,27,0,16,,,0.001017675
0,27,0,12,,,0.001297318
0,27,0,2,,,-0.000102617
0,27,0,13,,,0.0013904
0,27,0,5,,,0.006533629
0,27,0,1,,,0.004808077
0,27,0,22,,,0.002492183
0,27,0,15,,,0.003212797
0,27,0,18,,,0.005560922
0,27,0,17,,,0.003710854
0,27,0,3,,,0.005352372
0,28,0,20,,,0.005363976
0,28,0,19,,,0.009321409
0,28,0,9,,,0.002734412
0,28,0,14,,,0.004450292
0,28,0,21,,,0.004141164
0,28,0,8,,,0.002366225
0,28,0,4,,,0.004720861
0,28,0,11,,,0.000563587
0,28,0,6,,,0.003944138
0,28,0,7,,,0.004234955
0,28,0,23,,,0.00338504
0,28,0,0,,,2.24E-05
0,28,0,10,,,0.005162289
0,28,0,16,,,0.001017675
0,28,0,12,,,0.001297318
0,28,0,2,,,-0.000102617
0,28,0,13,,,0.0013904
0,28,0,5,,,0.006533629
0,28,0,1,,,0.004808077
0,28,0,22,,,0.002492183
0,28,0,15,,,0.003212797
0,28,0,18,,,0.005560922
0,28,0,17,,,0.003710854
0,28,0,3,,,0.005352372
0,29,0,20,,,0.005363976
0,29,0,19,,,0.009321409
0,29,0,9,,,0.002734412
0,29,0,14,,,0.004450292
0,29,0,21,,,0.004141164
0,29,0,8,,,0.002366225
0,29,0,4,,,0.004720861
0,29,0,11,,,0.000563587
0,29,0,6,,,0.003944138
0,29,0,7,,,0.004234955
0,29,0,23,,,0.00338504
0,29,0,0,,,2.24E-05
0,29,0,10,,,0.005162289
0,29,0,16,,,0.001017675
0,29,0,12,,,0.001297318
0,29,0,2,,,-0.000102617
0,29,0,13,,,0.0013904
0,29,0,5,,,0.006533629
0,29,0,1,,,0.004808077
0,29,0,22,,,0.002492183
0,29,0,15,,,0.003212797
0,29,0,18,,,0.005560922
0,29,0,17,,,0.003710854
0,29,0,3,,,0.005352372
0,30,0,20,,,0.005363976
0,30,0,19,,,0.009321409
0,30,0,9,,,0.002734412
0,30,0,14,,,0.004450292
0,30,0,21,,,0.004141164
0,30,0,8,,,0.002366225
0,30,0,4,,,0.004720861
0,30,0,11,,,0.000563587
0,30,0,6,,,0.003944138
0,30,0,7,,,0.004234955
0,30,0,23,,,0.00338504
0,30,0,0,,,2.24E-05
0,30,0,10,,,0.005162289
0,30,0,16,,,0.001017675
0,30,0,12,,,0.001297318
0,30,0,2,,,-0.000102617
0,30,0,13,,,0.0013904
0,30,0,5,,,0.006533629
0,30,0,1,,,0.004808077
0,30,0,22,,,0.002492183
0,30,0,15,,,0.003212797
0,30,0,18,,,0.005560922
0,30,0,17,,,0.003710854
0,30,0,3,,,0.005352372
0,1,100,20,0.735331191,0.0146389,0.004387524
0,1,100,19,0.714574268,0.004176879,0.010046564
0,1,100,9,0.526317008,0.013802645,0.006421865
0,1,100,14,0.734514915,0.002863292,0.00484796
0,1,100,21,0.578060402,0.004177682,0.009353161
0,1,100,8,0.692321749,0.008875839,0.005125793
0,1,100,4,0.736300137,0.01161632,0.007122687
0,1,100,11,0.625497126,0.013076022,0.003238575
0,1,100,6,0.623346409,0.010016256,0.006364742
0,1,100,7,0.707799078,0.010486148,0.005025517
0,1,100,23,0.654817062,0.013660116,0.009830286
0,1,100,0,0.696453942,0.005156355,0.00490028
0,1,100,10,0.564254816,0.006534431,0.007013554
0,1,100,16,0.645224661,0.007792125,0.006149315
0,1,100,12,0.58644499,0.006742593,0.008089841
0,1,100,2,0.44299837,0.005583475,0.002371344
0,1,100,13,0.465441793,0.008519772,0.004404586
0,1,100,5,0.679718584,0.010952799,0.018681371
0,1,100,1,0.688000329,0.006194471,0.007538121
0,1,100,22,0.576029644,0.00472195,0.00549629
0,1,100,15,0.455818691,0.007204856,0.007607279
0,1,100,18,0.601346886,0.003629158,0.006002399
0,1,100,17,0.382875285,0.006004843,0.004346134
0,1,100,3,0.512068347,0.00822448,0.008231538
0,2,100,20,0.738257354,0.014002244,0.004387524
0,2,100,19,0.725781181,0.00580689,0.010046564
0,2,100,9,0.534388144,0.013176174,0.006421865
0,2,100,14,0.736146356,0.003334366,0.00484796
0,2,100,21,0.567531709,0.006893156,0.009353161
0,2,100,8,0.676821253,0.008856117,0.005125793
0,2,100,4,0.729882592,0.010917676,0.007122687
0,2,100,11,0.617095239,0.010476506,0.003238575
0,2,100,6,0.620246419,0.008544909,0.006364742
0,2,100,7,0.698387166,0.009094562,0.005025517
0,2,100,23,0.642205665,0.013823403,0.009830286
0,2,100,0,0.693597696,0.004223075,0.00490028
0,2,100,10,0.571482951,0.006257898,0.007013554
0,2,100,16,0.650225641,0.008457052,0.006149315
0,2,100,12,0.585145055,0.005655564,0.008089841
0,2,100,2,0.436003628,0.00600781,0.002371344
0,2,100,13,0.456419417,0.006989947,0.004404586
0,2,100,5,0.697460846,0.009669547,0.018681371
0,2,100,1,0.676971905,0.006597983,0.007538121
0,2,100,22,0.582222479,0.006313805,0.00549629
0,2,100,15,0.460433847,0.007575554,0.007607279
0,2,100,18,0.589047531,0.00466834,0.006002399
0,2,100,17,0.396615504,0.006924274,0.004346134
0,2,100,3,0.509835935,0.00809864,0.008231538
0,3,100,20,0.735173324,0.015450614,0.004387524
0,3,100,19,0.72610835,0.005021852,0.010046564
0,3,100,9,0.370883707,0.006939188,0.006421865
0,3,100,14,0.73139121,0.003027934,0.00484796
0,3,100,21,0.57448859,0.004893007,0.009353161
0,3,100,8,0.678340945,0.008043879,0.005125793
0,3,100,4,0.730658293,0.011474191,0.007122687
0,3,100,11,0.614874536,0.010716905,0.003238575
0,3,100,6,0.61668458,0.009456237,0.006364742
0,3,100,7,0.698036324,0.007892279,0.005025517
0,3,100,23,0.642322701,0.013478997,0.009830286
0,3,100,0,0.692920659,0.004309934,0.00490028
0,3,100,10,0.576958969,0.005774155,0.007013554
0,3,100,16,0.651413053,0.007977993,0.006149315
0,3,100,12,0.577356418,0.005641107,0.008089841
0,3,100,2,0.441605759,0.004648729,0.002371344
0,3,100,13,0.327099615,0.004126915,0.004404586
0,3,100,5,0.703690896,0.009319005,0.018681371
