,rerun,bootstrap,group_label_acc,gsm_repref_corr,mean_rep_ism_gsm_corr,stdev_rep_ism_gsm_corr,scantime
0,8,200,0.792314086,0.88325812,0.005012054,0.002210767,twentyfivemin
0,8,400,0.729161256,0.85374175,0.005151045,0.002104082,twentyfivemin
0,8,800,0.758760365,0.911972685,0.005237681,0.002344373,twentyfivemin
0,9,100,0.505068014,0.742803603,0.005007522,0.002077515,twentyfivemin
0,9,200,0.695967343,0.858644484,0.004912431,0.002263904,twentyfivemin
0,9,400,0.758022961,0.886777418,0.005248033,0.002428119,twentyfivemin
0,9,800,0.72758272,0.880426051,0.00509572,0.002297525,twentyfivemin
0,10,100,0.658464798,0.796753279,0.004945853,0.002118719,twentyfivemin
0,10,200,0.787524733,0.880252912,0.005197162,0.002311966,twentyfivemin
0,10,400,0.705815148,0.891472971,0.005170337,0.002209511,twentyfivemin
0,10,800,0.862485657,0.91799482,0.005436034,0.00219509,twentyfivemin
